1,51720,Virginia,Norton,2020-06-22,0,4,36.93357076,-82.62750411
2,51185,Virginia,Tazewell,2020-06-22,0,9,37.12191123,-81.56685568
3,51195,Virginia,Wise,2020-06-22,2,27,36.9746148,-82.62410519
4,53019,Washington,Ferry,2020-06-22,0,1,48.471143100000006,-118.5154041
5,54023,West Virginia,Grant,2020-06-22,0,16,39.10314817,-79.19440518
6,54035,West Virginia,Jackson,2020-06-22,18,141,38.84263974,-81.68148753
7,54047,West Virginia,McDowell,2020-06-22,0,6,37.38002939,-81.65083669
8,54105,West Virginia,Wirt,2020-06-22,0,4,39.02775007,-81.37473928
9,55055,Wisconsin,Jefferson,2020-06-22,4,181,43.02054068,-88.77529134
10,55065,Wisconsin,Lafayette,2020-06-22,0,56,42.66005229,-90.1317729
11,55077,Wisconsin,Marquette,2020-06-22,1,10,43.81911946,-89.40073763
12,55107,Wisconsin,Rusk,2020-06-22,0,11,45.47498854,-91.1333012
13,1049,Alabama,DeKalb,2020-06-23,5,460,34.45946862,-85.80782906
14,1053,Alabama,Escambia,2020-06-23,6,173,31.1256789,-87.15918694
15,1073,Alabama,Jefferson,2020-06-23,126,3241,33.55554728,-86.89506300000002
16,1099,Alabama,Monroe,2020-06-23,2,165,31.56729412,-87.36995001
17,1103,Alabama,Morgan,2020-06-23,2,841,34.45500589,-86.85475946
18,2282,Alaska,Yakutat,2020-06-23,0,1,59.8909808,-140.36014509999998
19,5037,Arkansas,Cross,2020-06-23,1,83,35.29631396,-90.77185818
20,5049,Arkansas,Fulton,2020-06-23,0,10,36.38177105,-91.81729127
21,5111,Arkansas,Poinsett,2020-06-23,3,53,35.57433534,-90.66268713
22,5147,Arkansas,Woodruff,2020-06-23,0,6,35.18902527,-91.2439489
23,6057,California,Nevada,2020-06-23,1,82,39.30394768,-120.7627281
24,8041,Colorado,El Paso,2020-06-23,120,2139,38.83240149,-104.5251411
25,8049,Colorado,Grand,2020-06-23,0,18,40.10603347,-106.1178042
26,8057,Colorado,Jackson,2020-06-23,0,0,40.66593870000001,-106.3408905
27,10003,Delaware,New Castle,2020-06-23,275,4697,39.57992638,-75.64054974
28,12021,Florida,Collier,2020-06-23,65,3375,26.11091986,-81.34687065
29,12061,Florida,Indian River,2020-06-23,15,422,27.69308961,-80.60556721
30,13087,Georgia,Decatur,2020-06-23,8,245,30.87967778,-84.57619536
31,13133,Georgia,Greene,2020-06-23,9,90,33.5769205,-83.17139104
32,13151,Georgia,Henry,2020-06-23,31,1013,33.4533428,-84.14814659999998
33,13167,Georgia,Johnson,2020-06-23,2,81,32.70211082,-82.66166794
34,13175,Georgia,Laurens,2020-06-23,1,135,32.46325233,-82.92221316
35,13189,Georgia,McDuffie,2020-06-23,5,81,33.47851918,-82.48252774
36,13231,Georgia,Pike,2020-06-23,3,84,33.09310242,-84.38790389
37,13241,Georgia,Rabun,2020-06-23,4,36,34.88389445,-83.40304637
38,16061,Idaho,Lewis,2020-06-23,0,0,46.23315327,-116.434146
39,16069,Idaho,Nez Perce,2020-06-23,19,89,46.32638236,-116.7500975
40,17099,Illinois,LaSalle,2020-06-23,16,191,41.34426129999999,-88.88633881
41,17183,Illinois,Vermilion,2020-06-23,2,50,40.18417171,-87.73384359
42,17199,Illinois,Williamson,2020-06-23,4,95,37.73033511,-88.92994027
43,19017,Iowa,Bremer,2020-06-23,6,85,42.77461496,-92.31795937
44,19181,Iowa,Warren,2020-06-23,2,214,41.33559454,-93.56007641
45,20005,Kansas,Atchison,2020-06-23,0,28,39.53185661,-95.30870026
46,20093,Kansas,Kearny,2020-06-23,1,48,38.00017981,-101.321681
47,20119,Kansas,Meade,2020-06-23,0,30,37.23859987,-100.364831
48,20163,Kansas,Rooks,2020-06-23,0,6,39.35022773,-99.32484567
49,20197,Kansas,Wabaunsee,2020-06-23,0,32,38.95471985,-96.20350509
50,21131,Kentucky,Leslie,2020-06-23,0,8,37.09246661,-83.37999606
51,21165,Kentucky,Menifee,2020-06-23,0,12,37.94090733,-83.59985712
52,21189,Kentucky,Owsley,2020-06-23,0,2,37.42823949,-83.68811419
53,80025,Massachusetts,Out of MA,2020-06-23,0,0,0.0,0.0
54,26113,Michigan,Missaukee,2020-06-23,1,24,44.33772443,-85.09256478
55,26131,Michigan,Ontonagon,2020-06-23,0,0,46.665226200000006,-89.31390481
56,26137,Michigan,Otsego,2020-06-23,10,121,45.02085831,-84.59898295
57,26155,Michigan,Shiawassee,2020-06-23,27,265,42.95392800000001,-84.14585902
